fuel_type,aspirations,num_of_doors,body_style,drive_wheels,engine_location,wheel_base,length,width,height,curb_weight,num_of_cylinders,engine_size,compression_ratio,horsepower,peak_rpm,city_mpg,highway_mpg,price
diesel,std,two,sedan,fwd,front,97.3,171.7,65.5,55.7,2261,four,97,23,52,4800,37,46,7775.00
diesel,std,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2264,four,97,23,52,4800,37,46,7995.00
diesel,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,2017,four,103,21.9,55,4800,45,50,7099.00
diesel,std,four,hatchback,fwd,front,95.7,166.3,64.4,52.8,2275,four,110,22.5,56,4500,38,47,7788.00
diesel,std,four,sedan,fwd,front,95.7,166.3,64.4,53,2275,four,110,22.5,56,4500,34,36,7898.00
gas,std,two,hatchback,fwd,front,86.6,144.6,63.9,50.8,1713,four,92,9.6,58,4800,49,54,6479.00
gas,std,two,hatchback,fwd,front,93.7,150,64,52.6,1837,four,79,10.1,60,5500,38,42,5399.00
gas,std,two,hatchback,fwd,front,95.7,158.7,63.6,54.5,1985,four,92,9,62,4800,35,39,5348.00
gas,std,two,hatchback,fwd,front,95.7,158.7,63.6,54.5,2040,four,92,9,62,4800,31,38,6338.00
gas,std,four,hatchback,fwd,front,95.7,158.7,63.6,54.5,2015,four,92,9,62,4800,31,38,6488.00
gas,std,four,wagon,fwd,front,95.7,169.7,63.6,59.1,2280,four,92,9,62,4800,31,37,6918.00
gas,std,four,wagon,4wd,front,95.7,169.7,63.6,59.1,2290,four,92,9,62,4800,27,32,7898.00
gas,std,four,wagon,4wd,front,95.7,169.7,63.6,59.1,3110,four,92,9,62,4800,27,32,8778.00
gas,std,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1890,four,91,9,68,5000,30,31,5195.00
gas,std,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,1918,four,92,9.4,68,5500,37,41,5389.00
gas,std,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876,four,90,9.41,68,5500,37,41,5572.00
gas,std,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1918,four,90,9.4,68,5500,37,41,5572.00
gas,std,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1900,four,91,9,68,5000,31,38,6095.00
gas,std,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,1944,four,92,9.4,68,5500,31,38,6189.00
gas,std,four,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967,four,90,9.4,68,5500,31,38,6229.00
gas,std,four,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967,four,90,9.4,68,5500,31,38,6229.00
gas,std,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876,four,90,9.4,68,5500,31,38,6377.00
gas,std,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,2004,four,92,9.4,68,5500,31,38,6669.00
gas,std,four,sedan,fwd,front,93.7,157.3,63.8,50.6,1989,four,90,9.4,68,5500,31,38,6692.00
gas,std,four,sedan,fwd,front,93.7,167.3,63.8,50.8,1989,four,90,9.4,68,5500,31,38,6692.00
gas,std,four,sedan,fwd,front,93.1,166.8,64.2,54.1,1945,four,91,9,68,5000,31,38,6695.00
