Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay
AUDI A4,2,4,AMS-7,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,KVGAV02.0A7C,small car,5,27,34,30,7,Yes
AUDI A4,2,4,AMS-7,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,KVGAV02.0A7C,small car,5,27,34,30,7,Yes
AUDI e-tron,N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,KVGAT00.0AZE,standard SUV,10,74,73,74,10,Elite
AUDI e-tron,N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,KVGAT00.0AZE,standard SUV,10,74,73,74,10,Elite
BMW 330i,2,4,SemiAuto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KBMXJ02.0B4X,small car,7,26,36,30,7,Yes
BMW 330i,2,4,SemiAuto-8,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KBMXJ02.0B4X,small car,7,26,36,30,7,Yes
BMW 530e,2,4,SemiAuto-8,2WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,KBMXV02.0H30,small car,7,27/70,30/75,29/72,10,Elite
BMW 530e,2,4,SemiAuto-8,2WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,KBMXV02.0H30,small car,7,27/70,30/75,29/72,10,Elite
BMW 530e,2,4,SemiAuto-8,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,KBMXV02.0H30,small car,7,27/66,31/68,28/67,10,Elite
BMW 530e,2,4,SemiAuto-8,4WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,KBMXV02.0H30,small car,7,27/66,31/68,28/67,10,Elite
BMW 740e,2,4,SemiAuto-8,4WD,Gasoline/Electricity,CA,L3ULEV125,California LEV-III ULEV125,KBMXV02.0H48,large car,3,25/62,29/68,27/64,9,Yes
BMW 740e,2,4,SemiAuto-8,4WD,Gasoline/Electricity,FA,T3B125,Federal Tier 3 Bin 125,KBMXV02.0H48,large car,3,25/62,29/68,27/64,9,Yes
BMW i3,.6,2,Auto-1,2WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,KBMXV00.6I3R,small car,7,30/107,31/93,31/100,10,Elite
BMW i3,.6,2,Auto-1,2WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,KBMXV00.6I3R,small car,7,30/107,31/93,31/100,10,Elite
BMW i3,N/A,N/A,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,KBMXV00.0I3B,small car,10,124,102,113,10,Elite
BMW i3,N/A,N/A,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,KBMXV00.0I3B,small car,10,124,102,113,10,Elite
BMW i3s,.6,2,Auto-1,2WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,KBMXV00.6I3R,small car,7,30/107,31/93,31/100,10,Elite
BMW i3s,.6,2,Auto-1,2WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,KBMXV00.6I3R,small car,7,30/107,31/93,31/100,10,Elite
