instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,count
649,2012-10-10,Fall,1,10,0,3,1,1,0.514167,0.503142,0.630833,0.187821,780,6911,7691
394,2012-01-29,Winter,1,1,0,0,0,1,0.2825,0.272721,0.31125,0.24005,558,2685,3243
125,2011-05-05,Spring,0,5,0,4,1,1,0.459167,0.441917,0.444167,0.295392,614,3819,4433
373,2012-01-08,Winter,1,1,0,0,0,1,0.3375,0.340258,0.465,0.191542,599,2826,3425
101,2011-04-11,Spring,0,4,0,1,1,2,0.595652,0.565217,0.716956,0.324474,855,2493,3348
334,2011-11-30,Fall,0,11,0,3,1,1,0.325,0.311221,0.613333,0.271158,188,3425,3613
308,2011-11-04,Fall,0,11,0,5,1,2,0.403333,0.403392,0.6225,0.271779,470,3576,4046
664,2012-10-25,Fall,1,10,0,4,1,2,0.55,0.529688,0.800417,0.124375,875,6484,7359
476,2012-04-20,Spring,1,4,0,5,1,1,0.526667,0.515775,0.694583,0.149871,1340,5950,7290
82,2011-03-23,Spring,0,3,0,3,1,2,0.346957,0.337939,0.839565,0.234261,203,1918,2121
651,2012-10-12,Fall,1,10,0,5,1,1,0.4375,0.433071,0.539167,0.235092,1060,6222,7282
168,2011-06-17,Spring,0,6,0,5,1,1,0.649167,0.600383,0.735833,0.143029,863,3981,4844
453,2012-03-28,Spring,1,3,0,3,1,1,0.484167,0.47095,0.48125,0.291671,674,5024,5698
591,2012-08-13,Summer,1,8,0,1,1,1,0.720833,0.662254,0.545417,0.136212,1207,5676,6883
180,2011-06-29,Summer,0,6,0,3,1,1,0.728333,0.654688,0.497917,0.261821,848,4377,5225
577,2012-07-30,Summer,1,7,0,1,1,1,0.730833,0.684987,0.66875,0.153617,1040,6065,7105
193,2011-07-12,Summer,0,7,0,2,1,1,0.794167,0.739275,0.559167,0.200254,662,3596,4258
411,2012-02-15,Winter,1,2,0,3,1,1,0.348333,0.351629,0.53125,0.1816,141,4028,4169
36,2011-02-05,Winter,0,2,0,6,0,2,0.233333,0.243058,0.929167,0.161079,100,905,1005
365,2011-12-31,Winter,0,12,0,6,0,1,0.41,0.414121,0.615833,0.220154,665,1820,2485
84,2011-03-25,Spring,0,3,0,5,1,1,0.264167,0.256312,0.495,0.230725,300,1910,2210
15,2011-01-15,Winter,0,1,0,6,0,2,0.233333,0.248112,0.49875,0.157963,222,1026,1248
109,2011-04-19,Spring,0,4,0,2,1,2,0.505833,0.489258,0.665833,0.157971,409,2795,3204
206,2011-07-25,Summer,0,7,0,1,1,1,0.743333,0.720958,0.757083,0.0908083,568,3272,3840
67,2011-03-08,Winter,0,3,0,2,1,1,0.2925,0.3024,0.420833,0.12065,316,1817,2133
727,2012-12-27,Winter,1,12,0,4,1,2,0.254167,0.226642,0.652917,0.350133,247,1867,2114
647,2012-10-08,Fall,1,10,1,1,0,2,0.383333,0.387608,0.709583,0.189679,874,4604,5478
288,2011-10-15,Fall,0,10,0,6,0,1,0.506667,0.498725,0.483333,0.258083,1899,3318,5217
532,2012-06-15,Spring,1,6,0,5,1,1,0.639167,0.599754,0.589583,0.176617,1563,6102,7665
136,2011-05-16,Spring,0,5,0,1,1,1,0.5775,0.550512,0.787917,0.126871,773,3185,3958
370,2012-01-05,Winter,1,1,0,4,1,1,0.265833,0.278412,0.524167,0.129987,140,3132,3272
344,2011-12-10,Fall,0,12,0,6,0,1,0.275,0.266412,0.5075,0.233221,502,2688,3190
217,2011-08-05,Summer,0,8,0,5,1,1,0.710833,0.656567,0.630833,0.184696,1023,3843,4866
221,2011-08-09,Summer,0,8,0,2,1,1,0.775,0.724121,0.570417,0.151121,907,3695,4602
556,2012-07-09,Summer,1,7,0,1,1,2,0.710833,0.654054,0.683333,0.180975,998,5571,6569
681,2012-11-11,Fall,1,11,0,0,0,1,0.420833,0.421713,0.659167,0.1275,2290,4562,6852
576,2012-07-29,Summer,1,7,0,0,0,1,0.721667,0.667933,0.62375,0.170396,2153,4444,6597
159,2011-06-08,Spring,0,6,0,3,1,1,0.775833,0.727279,0.622083,0.136817,676,3725,4401
438,2012-03-13,Winter,1,3,0,2,1,1,0.565,0.542929,0.6175,0.23695,762,5085,5847
58,2011-02-27,Winter,0,2,0,0,0,1,0.343478,0.351109,0.68,0.125248,694,1708,2402
390,2012-01-25,Winter,1,1,0,3,1,1,0.294167,0.294821,0.64375,0.161071,467,3803,4270
724,2012-12-24,Winter,1,12,0,1,1,2,0.231304,0.2589,0.791304,0.0772304,174,746,920
387,2012-01-22,Winter,1,1,0,0,0,2,0.1625,0.16225,0.79625,0.199638,196,1781,1977
