State,Year,birthrate,percapitaincome
Virginia,2000,62.15,39418
Virginia,2001,61.87,40312
Virginia,2002,62.09,40250
Virginia,2003,62.83,40809
Virginia,2004,64.17,41909
Virginia,2005,64.24,42803
Virginia,2006,66.13,44015
Virginia,2007,66.77,44951
Virginia,2008,65.46,44516
Virginia,2009,64.37,44057
DC,2000,53.43,38629
DC,2001,52.95,39240
DC,2002,52.4,39608
DC,2003,53.56,39512
DC,2004,55.69,40559
DC,2005,55.65,40644
DC,2006,58.89,41603
DC,2007,60.77,41523
DC,2008,62.03,40501
DC,2009,59.96,39597
