verified_income,debt_to_income,bankruptcy,term,credit_util,interest_rate,debt_inc_cent,term_cent,credit_util_cent
Verified,18.01,0,60,0.5475951691503638,14.07,-1.3019881692400226,16.725887306998196,0.1444891355043032
Not Verified,5.04,1,36,0.15003472222222222,12.61,-14.271988169240025,-7.274112693001804,-0.2530713114238383
Source Verified,21.15,0,36,0.6613483238953416,17.09,1.8380118307599744,-7.274112693001804,0.258242290249281
Not Verified,10.16,0,36,0.19673228346456692,6.72,-9.151988169240024,-7.274112693001804,-0.20637375018149365
Verified,57.96,0,36,0.7549077163189621,14.07,38.64801183075998,-7.274112693001804,0.35180168267290157
Not Verified,6.46,0,36,0.09258907363420428,6.72,-12.851988169240023,-7.274112693001804,-0.3105169600118563
Source Verified,23.66,0,60,0.06481367268341488,13.59,4.348011830759976,16.725887306998196,-0.3382923609626457
Source Verified,16.19,0,60,0.1776178958683866,11.99,-3.121988169240023,16.725887306998196,-0.22548813777767396
Source Verified,36.48,0,36,0.2456336735054204,13.59,17.168011830759973,-7.274112693001804,-0.15747236014064017
Not Verified,18.91,0,36,0.5365706347768315,6.71,-0.401988169240024,-7.274112693001804,0.13346460113077097
Verified,10.45,1,60,0.580605076965993,15.04,-8.861988169240025,16.725887306998196,0.17749904331993238
Source Verified,1.82,0,60,0.12420648754027236,9.92,-17.491988169240024,16.725887306998196,-0.2788995461057882
Source Verified,12.06,0,36,0.1656027293404094,13.59,-7.251988169240024,-7.274112693001804,-0.23750330430565117
Source Verified,3.67,0,60,0.05535271146336302,9.43,-15.641988169240024,16.725887306998196,-0.34775332218269756
Verified,33.98,1,36,0.3576753734366981,19.03,14.668011830759973,-7.274112693001804,-0.04543066020936248
Not Verified,38.46,0,60,0.5522201512991997,19.03,19.148011830759977,16.725887306998196,0.1491141176531391
Not Verified,31.22,0,60,0.24798182845808495,19.03,11.908011830759975,16.725887306998196,-0.15512420518797562
Source Verified,20.33,0,60,0.9327120571709867,28.72,1.0180118307599741,16.725887306998196,0.5296060235249261
Verified,9.53,0,36,0.2288648205535855,26.77,-9.781988169240025,-7.274112693001804,-0.17424121309247506
Source Verified,18.44,0,60,0.0711190048166815,15.05,-0.8719881692400229,16.725887306998196,-0.3319870288293791
Not Verified,15.6,0,36,0.25781861106765463,6.08,-3.7119881692400245,-7.274112693001804,-0.14528742257840593
Source Verified,32,1,36,0.17464932471375133,11.98,12.688011830759976,-7.274112693001804,-0.22845670893230924
Not Verified,26.53,0,60,0.26704673860843525,13.59,7.218011830759977,16.725887306998196,-0.13605929503762532
Verified,7.27,0,36,0.03238524807641284,6.71,-12.041988169240025,-7.274112693001804,-0.3707207855696477
Not Verified,17.31,0,36,1.0573481085212075,7.96,-2.0019881692400254,-7.274112693001804,0.654242074875147
Source Verified,14.42,0,60,0.08736015354698588,12.61,-4.891988169240024,16.725887306998196,-0.31574588009907467
Source Verified,13.68,0,36,0.6358645055023752,11.98,-5.631988169240024,-7.274112693001804,0.2327584718563146
Not Verified,19.38,0,36,0.5223812562676634,7.34,0.06801183075997486,-7.274112693001804,0.11927522262160284
Not Verified,11,0,36,0.2560357142857143,5.32,-8.311988169240024,-7.274112693001804,-0.14707031936034626
Source Verified,2.88,0,36,0.01690701481486513,6.07,-16.431988169240025,-7.274112693001804,-0.38619901883119545
Verified,26.25,0,36,0.260460571123987,12.62,6.938011830759976,-7.274112693001804,-0.14264546252207355
Source Verified,24.9,0,60,0.6447141638059523,9.44,5.588011830759974,16.725887306998196,0.2416081301598917
Verified,36.75,0,60,0.20926444904756103,19.03,17.438011830759976,16.725887306998196,-0.19384158459849954
